class,year,month,day
3.0340000000000003,1750,1,1
3.083,1750,2,1
5.626,1750,3,1
8.49,1750,4,1
11.573,1750,5,1
12.937,1750,6,1
15.868,1750,7,1
14.75,1750,8,1
11.412999999999998,1750,9,1
6.366999999999999,1750,10,1
2.772,1750,12,1
2.495,1751,1,1
0.963,1751,2,1
5.8,1751,3,1
7.67,1751,4,1
13.827,1751,6,1
14.405,1751,8,1
10.673,1751,9,1
0.3480000000000003,1752,1,1
5.806,1752,3,1
8.264999999999999,1752,4,1
7.838999999999999,1752,10,1
7.335,1752,11,1
5.086,1752,12,1
2.039,1753,1,1
0.7149999999999999,1753,2,1
5.424,1753,3,1
8.272,1753,4,1
12.186,1753,5,1
14.585,1753,6,1
15.092,1753,7,1
14.148,1753,8,1
13.322,1753,9,1
8.962,1753,10,1
5.353,1753,11,1
0.5589999999999997,1753,12,1
1.574,1754,1,1
-1.2489999999999997,1754,2,1
3.677,1754,3,1
11.61,1754,4,1
11.936,1754,5,1
14.388,1754,6,1
14.681,1754,7,1
13.556,1754,8,1
11.129,1754,9,1
9.582,1754,10,1
6.1610000000000005,1754,11,1
4.587,1754,12,1
1.067,1755,1,1
-0.1080000000000001,1755,2,1
3.607,1755,3,1
9.263,1755,4,1
12.880999999999998,1755,5,1
15.38,1755,6,1
14.397,1755,7,1
13.515,1755,8,1
11.773,1755,9,1
9.97,1755,10,1
5.957999999999998,1755,11,1
2.564,1755,12,1
3.887,1756,1,1
5.666,1756,2,1
4.192,1756,3,1
10.042,1756,4,1
14.163999999999998,1756,5,1
14.547,1756,6,1
13.906,1756,7,1
13.437,1756,8,1
12.652,1756,9,1
7.3119999999999985,1756,10,1
4.225,1756,11,1
2.165,1756,12,1
-0.27600000000000025,1757,1,1
3.7039999999999997,1757,2,1
4.529,1757,3,1
8.245999999999999,1757,4,1
13.039,1757,5,1
17.115,1757,6,1
17.61,1757,7,1
17.91,1757,8,1
14.852,1757,9,1
6.4819999999999975,1757,10,1
4.032,1757,11,1
1.0210000000000004,1757,12,1
-1.5029999999999997,1758,1,1
0.8059999999999999,1758,2,1
3.765,1758,3,1
7.209999999999999,1758,4,1
9.715,1758,5,1
13.139,1758,6,1
13.847,1758,7,1
11.818,1758,8,1
10.027999999999999,1758,9,1
1.8939999999999992,1758,10,1
6.955,1758,11,1
3.2489999999999997,1758,12,1
5.0139999999999985,1759,1,1
4.082,1759,2,1
4.52,1759,3,1
5.983,1759,4,1
10.189,1759,5,1
13.512,1759,6,1
12.526,1759,7,1
14.587,1759,8,1
12.626,1759,9,1
8.267000000000001,1759,10,1
4.268000000000002,1759,11,1
0.2469999999999999,1759,12,1
-0.8109999999999999,1760,1,1
2.436,1760,2,1
1.864,1760,3,1
7.435999999999999,1760,4,1
10.661,1760,5,1
11.945,1760,6,1
12.887,1760,7,1
13.917,1760,8,1
11.197,1760,9,1
6.7010000000000005,1760,10,1
5.436,1760,11,1
2.553,1760,12,1
0.6000000000000001,1761,1,1
2.735,1761,2,1
5.976,1761,3,1
7.3210000000000015,1761,4,1
13.450999999999999,1761,5,1
16.820999999999998,1761,6,1
19.021,1761,7,1
15.331,1761,8,1
12.534999999999998,1761,9,1
7.2269999999999985,1761,10,1
5.089,1761,11,1
-0.8370000000000002,1761,12,1
6.8660000000000005,1762,1,1
4.801,1762,2,1
3.5280000000000005,1762,3,1
9.019,1762,4,1
10.880999999999998,1762,5,1
13.499,1762,6,1
14.72,1762,7,1
13.992,1762,8,1
10.325999999999999,1762,9,1
6.1560000000000015,1762,10,1
6.367000000000001,1762,11,1
3.123,1762,12,1
1.3690000000000002,1763,1,1
0.7709999999999999,1763,2,1
1.5760000000000003,1763,3,1
7.870999999999999,1763,4,1
10.700999999999999,1763,5,1
12.270999999999999,1763,6,1
16.391,1763,7,1
14.126,1763,8,1
11.378,1763,9,1
5.535,1763,10,1
4.588,1763,11,1
3.384,1763,12,1
1.741,1764,1,1
6.162000000000001,1764,2,1
5.521,1764,3,1
7.879999999999999,1764,4,1
11.175,1764,5,1
11.722999999999999,1764,6,1
12.507,1764,7,1
12.282,1764,8,1
10.696,1764,9,1
10.011,1764,10,1
5.791,1764,11,1
5.315,1764,12,1
3.78,1765,1,1
3.832,1765,2,1
6.859,1765,3,1
9.013,1765,4,1
10.734000000000002,1765,5,1
10.832999999999998,1765,6,1
13.953,1765,7,1
13.12,1765,8,1
10.993,1765,9,1
7.904,1765,10,1
5.603,1765,11,1
2.399,1765,12,1
-0.7930000000000001,1766,1,1
4.896,1766,2,1
6.062,1766,3,1
8.007,1766,4,1
11.228,1766,5,1
13.652999999999999,1766,6,1
13.555,1766,7,1
13.758,1766,8,1
12.25,1766,9,1
8.465,1766,10,1
7.4540000000000015,1766,11,1
2.333,1766,12,1
-0.6430000000000002,1767,1,1
3.932,1767,2,1
7.022,1767,3,1
6.278,1767,4,1
10.193,1767,5,1
14.112,1767,6,1
13.361,1767,7,1
14.597,1767,8,1
11.675,1767,9,1
9.027,1767,10,1
7.915,1767,11,1
1.189,1767,12,1
-2.08,1768,1,1
0.5060000000000002,1768,2,1
2.446,1768,3,1
6.92,1768,4,1
9.066,1768,5,1
12.489999999999998,1768,6,1
13.875,1768,7,1
12.352,1768,8,1
10.824000000000002,1768,9,1
7.728999999999999,1768,10,1
4.581,1768,11,1
2.667,1768,12,1
2.305,1769,1,1
2.164,1769,2,1
4.57,1769,3,1
8.966999999999997,1769,4,1
12.873,1769,5,1
15.142,1769,6,1
14.461,1769,7,1
13.494000000000002,1769,8,1
11.25,1769,9,1
5.296999999999999,1769,10,1
2.79,1769,11,1
-0.9780000000000002,1769,12,1
1.974,1770,1,1
4.105,1770,2,1
1.612,1770,3,1
9.788,1770,4,1
9.996,1770,5,1
11.884,1770,6,1
11.621,1770,7,1
11.413,1770,8,1
10.724,1770,9,1
8.661,1770,10,1
5.791,1770,11,1
4.734,1770,12,1
5.101,1771,1,1
-0.274,1771,2,1
2.814,1771,3,1
5.716999999999999,1771,4,1
9.626,1771,5,1
14.104,1771,6,1
13.828,1771,7,1
14.204,1771,8,1
11.363,1771,9,1
10.317,1771,10,1
4.916,1771,11,1
2.522,1771,12,1
1.253,1772,1,1
1.4780000000000002,1772,2,1
3.057,1772,3,1
8.857999999999997,1772,4,1
9.531,1772,5,1
12.646999999999998,1772,6,1
14.581,1772,7,1
14.098,1772,8,1
10.302999999999999,1772,9,1
9.267999999999999,1772,10,1
7.7360000000000015,1772,11,1
5.5120000000000005,1772,12,1
-0.43699999999999983,1773,1,1
1.4209999999999998,1773,2,1
4.4220000000000015,1773,3,1
9.415,1773,4,1
12.764,1773,5,1
12.811,1773,6,1
14.484000000000002,1773,7,1
13.624,1773,8,1
12.488,1773,9,1
9.206,1773,10,1
3.3689999999999998,1773,11,1
5.090999999999998,1773,12,1
-0.3249999999999997,1774,1,1
4.914,1774,2,1
5.643,1774,3,1
10.152999999999999,1774,4,1
16.025,1774,5,1
15.370999999999999,1774,6,1
16.521,1774,7,1
14.099,1774,8,1
10.936,1774,9,1
8.59,1774,10,1
3.029,1774,11,1
0.31000000000000005,1774,12,1
4.261,1775,1,1
6.4270000000000005,1775,2,1
7.758999999999999,1775,3,1
7.951999999999999,1775,4,1
11.399,1775,5,1
12.314,1775,6,1
14.719,1775,7,1
14.435,1775,8,1
11.095999999999998,1775,9,1
10.372,1775,10,1
8.179,1775,11,1
1.2839999999999998,1775,12,1
-0.8059999999999999,1776,1,1
4.825,1776,2,1
4.652,1776,3,1
7.439999999999999,1776,4,1
10.475,1776,5,1
14.564,1776,6,1
14.108,1776,7,1
14.837,1776,8,1
10.602,1776,9,1
8.059999999999999,1776,10,1
5.87,1776,11,1
5.021,1776,12,1
6.021000000000001,1777,1,1
4.9190000000000005,1777,2,1
5.572,1777,3,1
6.361999999999999,1777,4,1
11.389,1777,5,1
12.323,1777,6,1
12.743,1777,7,1
12.815,1777,8,1
11.379,1777,9,1
6.956,1777,10,1
5.529,1777,11,1
3.067,1777,12,1
2.521,1778,1,1
6.093999999999999,1778,2,1
4.604,1778,3,1
10.983999999999998,1778,4,1
11.286,1778,5,1
11.731,1778,6,1
15.037,1778,7,1
12.869000000000002,1778,8,1
13.377,1778,9,1
8.049,1778,10,1
3.854,1778,11,1
2.101,1778,12,1
1.4700000000000002,1779,1,1
5.14,1779,2,1
6.9670000000000005,1779,3,1
9.965,1779,4,1
14.18,1779,5,1
12.547,1779,6,1
13.659,1779,7,1
13.799,1779,8,1
12.683,1779,9,1
9.35,1779,10,1
5.7700000000000005,1779,11,1
2.269,1779,12,1
2.515,1780,1,1
4.08,1780,2,1
5.724,1780,3,1
13.732,1780,4,1
15.756999999999998,1780,5,1
14.747,1780,6,1
16.183,1780,7,1
12.947,1780,8,1
8.844,1780,9,1
9.376,1780,10,1
6.706,1780,11,1
2.584,1780,12,1
2.401,1781,1,1
2.267,1781,2,1
4.772,1781,3,1
6.922999999999999,1781,4,1
11.102,1781,5,1
11.677999999999999,1781,6,1
14.285,1781,7,1
14.140999999999998,1781,8,1
